Date,Transaction Type,Amount,Category,Balance,Description
2013-01-01,Deposit,2921,Sales,26950,Deposit for Sales
2013-01-03,Deposit,782,Sponsorship,10163,Deposit for Sponsorship
2013-01-05,Deposit,351,Sponsorship,13158,Deposit for Sponsorship
2013-01-06,Withdrawal,1436,Loan Payments,17253,Withdrawal for Loan Payments
2013-01-06,Withdrawal,661,Office Supplies,14443,Withdrawal for Office Supplies
2013-01-07,Withdrawal,550,Taxes,18689,Withdrawal for Taxes
2013-01-07,Withdrawal,758,Taxes,25338,Withdrawal for Taxes
2013-01-07,Deposit,4296,Sponsorship,22816,Deposit for Sponsorship
2013-01-07,Withdrawal,1160,Insurance,9312,Withdrawal for Insurance
2013-01-09,Withdrawal,2025,Professional Services,23194,Withdrawal for Professional Services
2013-01-09,Withdrawal,2148,Travel,24029,Withdrawal for Travel
2013-01-10,Deposit,2951,Sales,20204,Deposit for Sales
2013-01-10,Withdrawal,854,Utilities,26096,Withdrawal for Utilities
2013-01-11,Deposit,2106,Sales,26177,Deposit for Sales
2013-01-14,Withdrawal,1412,Utilities,23926,Withdrawal for Utilities
2013-01-16,Deposit,2452,Sales,9381,Deposit for Sales
2013-01-17,Deposit,3495,Sponsorship,12807,Deposit for Sponsorship
2013-01-18,Withdrawal,893,Rent,19311,Withdrawal for Rent
2013-01-18,Withdrawal,1900,Office Supplies,6929,Withdrawal for Office Supplies
2013-01-19,Deposit,309,Donations,10472,Deposit for Donations
2013-01-20,Deposit,3829,Sponsorship,8829,Deposit for Sponsorship
2013-01-20,Deposit,2953,Sales,15104,Deposit for Sales
2013-01-22,Withdrawal,1007,Loan Payments,12151,Withdrawal for Loan Payments
2013-01-22,Withdrawal,2978,Maintenance,20948,Withdrawal for Maintenance
2013-01-22,Deposit,4760,Sponsorship,24071,Deposit for Sponsorship
2013-01-23,Withdrawal,2428,Loan Payments,18520,Withdrawal for Loan Payments
2013-01-24,Deposit,4629,Donations,24523,Deposit for Donations
2013-01-24,Deposit,4796,Sales,19239,Deposit for Sales
2013-01-25,Withdrawal,2922,Marketing,19894,Withdrawal for Marketing
2013-01-25,Deposit,696,Donations,25219,Deposit for Donations
2013-02-01,Withdrawal,1391,Utilities,15873,Withdrawal for Utilities
2013-02-01,Withdrawal,306,Memberships,14764,Withdrawal for Memberships
2013-02-05,Deposit,2864,Sales,1103,Deposit for Sales
2013-02-08,Withdrawal,174,Inventory,14433,Withdrawal for Inventory
2013-02-09,Deposit,1671,Sales,3745,Deposit for Sales
2013-02-11,Deposit,1562,Sales,10518,Deposit for Sales
2013-02-11,Withdrawal,2460,Taxes,0,Withdrawal for Taxes
2013-02-11,Deposit,371,Sales,0,Deposit for Sales
2013-02-11,Withdrawal,2773,Loan Payments,0,Withdrawal for Loan Payments
2013-02-13,Deposit,2177,Sponsorship,17264,Deposit for Sponsorship
2013-02-13,Withdrawal,2865,Memberships,7083,Withdrawal for Memberships
2013-02-14,Deposit,1344,Donations,7334,Deposit for Donations
2013-02-15,Withdrawal,2706,Utilities,4377,Withdrawal for Utilities
2013-02-16,Deposit,4569,Sales,15087,Deposit for Sales
2013-02-16,Deposit,1329,Donations,16359,Deposit for Donations
2013-02-19,Deposit,597,Sponsorship,15030,Deposit for Sponsorship
2013-02-19,Withdrawal,803,Utilities,15070,Withdrawal for Utilities
2013-02-19,Withdrawal,903,Insurance,200,Withdrawal for Insurance
2013-02-20,Deposit,1058,Donations,0,Deposit for Donations
2013-02-21,Withdrawal,1658,Memberships,13106,Withdrawal for Memberships
2013-02-21,Withdrawal,1764,Office Supplies,0,Withdrawal for Office Supplies
2013-02-21,Deposit,4948,Sponsorship,9948,Deposit for Sponsorship
2013-02-21,Deposit,1622,Donations,8956,Deposit for Donations
2013-02-23,Deposit,4982,Sales,2074,Deposit for Sales
2013-02-25,Deposit,2245,Sponsorship,5990,Deposit for Sponsorship
2013-02-25,Withdrawal,1536,Insurance,699,Withdrawal for Insurance
2013-02-25,Withdrawal,2990,Rent,13369,Withdrawal for Rent
2013-02-26,Deposit,2866,Sales,14607,Deposit for Sales
2013-02-26,Withdrawal,2142,Payroll,2235,Withdrawal for Payroll
2013-02-28,Withdrawal,1365,Insurance,11741,Withdrawal for Insurance
2013-03-05,Withdrawal,2230,Maintenance,9198,Withdrawal for Maintenance
2013-03-05,Withdrawal,1763,Loan Payments,30123,Withdrawal for Loan Payments
2013-03-06,Deposit,1778,Sales,18507,Deposit for Sales
2013-03-08,Withdrawal,1420,Payroll,15060,Withdrawal for Payroll
2013-03-08,Withdrawal,1669,Rent,36730,Withdrawal for Rent
2013-03-08,Deposit,1014,Sales,40689,Deposit for Sales
2013-03-08,Withdrawal,1400,Professional Services,38269,Withdrawal for Professional Services
2013-03-10,Deposit,2419,Sponsorship,7419,Deposit for Sponsorship
2013-03-12,Deposit,3144,Donations,10563,Deposit for Donations
2013-03-14,Deposit,2894,Sales,35902,Deposit for Sales
2013-03-14,Withdrawal,1020,Professional Services,39669,Withdrawal for Professional Services
2013-03-15,Deposit,3876,Donations,15702,Deposit for Donations
2013-03-15,Deposit,3530,Sales,41688,Deposit for Sales
2013-03-15,Withdrawal,2013,Office Supplies,39675,Withdrawal for Office Supplies
2013-03-17,Deposit,1263,Sponsorship,11826,Deposit for Sponsorship
2013-03-17,Deposit,130,Sales,38399,Deposit for Sales
2013-03-17,Deposit,1459,Donations,16480,Deposit for Donations
2013-03-17,Withdrawal,2943,Taxes,11428,Withdrawal for Taxes
2013-03-18,Withdrawal,2355,Payroll,31886,Withdrawal for Payroll
2013-03-19,Withdrawal,1331,Marketing,14371,Withdrawal for Marketing
2013-03-20,Withdrawal,786,Utilities,17721,Withdrawal for Utilities
2013-03-21,Deposit,4980,Donations,27506,Deposit for Donations
2013-03-22,Deposit,3995,Sales,31501,Deposit for Sales
2013-03-22,Deposit,4805,Sales,22526,Deposit for Sales
2013-03-22,Deposit,4300,Sponsorship,15021,Deposit for Sponsorship
2013-03-23,Deposit,2885,Donations,33008,Deposit for Donations
2013-03-24,Deposit,2256,Donations,38158,Deposit for Donations
2013-03-25,Deposit,2740,Sales,34241,Deposit for Sales
2013-03-25,Deposit,1523,Sales,10721,Deposit for Sales
2013-03-28,Deposit,1669,Sponsorship,16729,Deposit for Sponsorship
2013-04-01,Deposit,561,Sales,16616,Deposit for Sales
2013-04-02,Deposit,3385,Donations,16050,Deposit for Donations
2013-04-02,Withdrawal,640,Insurance,12994,Withdrawal for Insurance
2013-04-03,Withdrawal,995,Professional Services,8789,Withdrawal for Professional Services
2013-04-04,Withdrawal,1609,Professional Services,16055,Withdrawal for Professional Services
2013-04-05,Deposit,2235,Donations,18604,Deposit for Donations
2013-04-06,Withdrawal,1713,Professional Services,4860,Withdrawal for Professional Services
2013-04-07,Deposit,3591,Donations,11112,Deposit for Donations
2013-04-07,Withdrawal,2856,Office Supplies,6573,Withdrawal for Office Supplies
2013-04-08,Withdrawal,2175,Payroll,14441,Withdrawal for Payroll
2013-04-08,Withdrawal,116,Marketing,16369,Withdrawal for Marketing
2013-04-08,Withdrawal,1340,Travel,12774,Withdrawal for Travel
2013-04-08,Withdrawal,1989,Professional Services,12665,Withdrawal for Professional Services
2013-04-09,Withdrawal,1326,Marketing,9429,Withdrawal for Marketing
2013-04-09,Deposit,2886,Sales,14515,Deposit for Sales
2013-04-11,Deposit,139,Sponsorship,14654,Deposit for Sponsorship
2013-04-12,Withdrawal,942,Inventory,10755,Withdrawal for Inventory
2013-04-14,Deposit,345,Sponsorship,5345,Deposit for Sponsorship
2013-04-18,Withdrawal,327,Office Supplies,14114,Withdrawal for Office Supplies
2013-04-18,Deposit,4116,Donations,19928,Deposit for Donations
2013-04-18,Deposit,4439,Sales,9784,Deposit for Sales
2013-04-20,Withdrawal,1474,Utilities,17664,Withdrawal for Utilities
2013-04-20,Withdrawal,790,Insurance,19138,Withdrawal for Insurance
2013-04-20,Deposit,3177,Sales,16485,Deposit for Sales
2013-04-21,Deposit,314,Sponsorship,13308,Deposit for Sponsorship
2013-04-21,Withdrawal,2792,Travel,15812,Withdrawal for Travel
2013-04-22,Deposit,2661,Sponsorship,7521,Deposit for Sponsorship
2013-04-22,Deposit,4845,Sales,13634,Deposit for Sales
2013-04-23,Deposit,517,Sponsorship,11629,Deposit for Sponsorship
2013-04-24,Withdrawal,1077,Rent,11697,Withdrawal for Rent
2013-05-02,Withdrawal,1260,Taxes,6128,Withdrawal for Taxes
2013-05-02,Withdrawal,1627,Payroll,6045,Withdrawal for Payroll
2013-05-03,Deposit,3711,Sales,13550,Deposit for Sales
2013-05-03,Withdrawal,1321,Utilities,9990,Withdrawal for Utilities
2013-05-03,Deposit,4132,Donations,8514,Deposit for Donations
2013-05-03,Withdrawal,2429,Loan Payments,18592,Withdrawal for Loan Payments
2013-05-03,Deposit,4236,Sponsorship,21021,Deposit for Sponsorship
2013-05-03,Deposit,814,Donations,5447,Deposit for Donations
2013-05-04,Withdrawal,1142,Insurance,7672,Withdrawal for Insurance
2013-05-04,Withdrawal,2261,Insurance,4633,Withdrawal for Insurance
2013-05-05,Withdrawal,449,Marketing,5194,Withdrawal for Marketing
2013-05-07,Withdrawal,2602,Maintenance,7388,Withdrawal for Maintenance
2013-05-09,Withdrawal,204,Insurance,5243,Withdrawal for Insurance
2013-05-11,Deposit,4979,Sales,8814,Deposit for Sales
2013-05-11,Deposit,2797,Sponsorship,11311,Deposit for Sponsorship
2013-05-14,Withdrawal,812,Rent,4382,Withdrawal for Rent
2013-05-14,Withdrawal,1408,Taxes,3835,Withdrawal for Taxes
2013-05-14,Withdrawal,2108,Insurance,16398,Withdrawal for Insurance
2013-05-16,Deposit,2507,Donations,14192,Deposit for Donations
2013-05-17,Deposit,3711,Donations,9839,Deposit for Donations
2013-05-17,Withdrawal,402,Office Supplies,5643,Withdrawal for Office Supplies
2013-05-17,Deposit,4764,Donations,18506,Deposit for Donations
2013-05-19,Deposit,3779,Sales,17971,Deposit for Sales
2013-05-20,Withdrawal,1810,Rent,13742,Withdrawal for Rent
2013-05-20,Deposit,2181,Donations,16785,Deposit for Donations
2013-05-21,Withdrawal,1865,Memberships,11685,Withdrawal for Memberships
2013-05-22,Withdrawal,2419,Travel,15552,Withdrawal for Travel
2013-05-23,Deposit,1894,Donations,6894,Deposit for Donations
2013-05-23,Withdrawal,1794,Inventory,14604,Withdrawal for Inventory
2013-05-27,Withdrawal,340,Rent,18252,Withdrawal for Rent
2013-06-03,Deposit,2568,Sponsorship,35788,Deposit for Sponsorship
2013-06-03,Deposit,941,Sponsorship,13597,Deposit for Sponsorship
2013-06-03,Deposit,4063,Sponsorship,22078,Deposit for Sponsorship
2013-06-06,Deposit,2995,Sales,38283,Deposit for Sales
2013-06-06,Deposit,2695,Sales,39867,Deposit for Sales
2013-06-07,Withdrawal,1529,Inventory,32604,Withdrawal for Inventory
2013-06-07,Deposit,3293,Sponsorship,36630,Deposit for Sponsorship
2013-06-08,Deposit,819,Sponsorship,4951,Deposit for Sponsorship
2013-06-09,Withdrawal,868,Marketing,4132,Withdrawal for Marketing
2013-06-10,Deposit,3206,Donations,36756,Deposit for Donations
2013-06-10,Withdrawal,1218,Travel,20860,Withdrawal for Travel
2013-06-11,Withdrawal,2238,Marketing,33550,Withdrawal for Marketing
2013-06-11,Withdrawal,1342,Insurance,35288,Withdrawal for Insurance
2013-06-12,Deposit,453,Sales,14050,Deposit for Sales
2013-06-13,Deposit,1550,Donations,25513,Deposit for Donations
2013-06-15,Deposit,2683,Sponsorship,18015,Deposit for Sponsorship
2013-06-15,Deposit,2394,Donations,40677,Deposit for Donations
2013-06-16,Deposit,4839,Donations,8951,Deposit for Donations
2013-06-17,Withdrawal,255,Loan Payments,39612,Withdrawal for Loan Payments
2013-06-17,Deposit,3705,Sales,12656,Deposit for Sales
2013-06-18,Deposit,3103,Donations,23963,Deposit for Donations
2013-06-18,Deposit,4624,Sales,33220,Deposit for Sales
2013-06-19,Withdrawal,828,Memberships,15332,Withdrawal for Memberships
2013-06-20,Withdrawal,2623,Marketing,34133,Withdrawal for Marketing
2013-06-20,Withdrawal,1830,Insurance,37172,Withdrawal for Insurance
2013-06-21,Deposit,733,Sales,33337,Deposit for Sales
2013-06-22,Deposit,2110,Sponsorship,16160,Deposit for Sponsorship
2013-06-22,Withdrawal,839,Office Supplies,4112,Withdrawal for Office Supplies
2013-06-25,Deposit,3083,Sales,28596,Deposit for Sales
2013-06-27,Withdrawal,1675,Marketing,39002,Withdrawal for Marketing
2013-07-01,Deposit,3297,Donations,1607,Deposit for Donations
2013-07-01,Deposit,504,Donations,4575,Deposit for Donations
2013-07-02,Deposit,2897,Sales,10914,Deposit for Sales
2013-07-04,Deposit,3511,Donations,16956,Deposit for Donations
2013-07-06,Withdrawal,1741,Taxes,11124,Withdrawal for Taxes
2013-07-07,Withdrawal,628,Travel,0,Withdrawal for Travel
2013-07-07,Deposit,4725,Donations,8017,Deposit for Donations
